"Subject","lever_side","reaction","cumulative_count","colony","body_part","log_cumulative_count","box_between_solves","paw_comb","con_pres"
"squirrel_6","left lever","no reaction",468,"C","left paw",6.14846829591765,1,"ipsi",0
"squirrel_6","left lever","no reaction",469,"C","both paws",6.15060276844628,1,"both",0
"squirrel_6","left lever","no reaction",470,"C","left paw",6.1527326947041,1,"ipsi",0
"squirrel_6","left lever","no reaction",471,"C","right paw",6.15485809401642,1,"contra",0
"squirrel_6","left lever","no reaction",472,"C","right paw",6.15697898558556,1,"contra",0
"squirrel_6","left lever","no reaction",473,"C","left paw",6.15909538849193,0,"ipsi",0
"squirrel_6","right lever","alert",474,"C","right paw",6.16120732169508,1,"ipsi",0
"squirrel_6","left lever","no reaction",475,"C","right paw",6.16331480403464,2,"contra",0
"squirrel_6","left lever","no reaction",476,"C","left paw",6.16541785423142,1,"ipsi",0
"squirrel_6","left lever","no reaction",477,"C","both paws",6.16751649088834,1,"both",0
"squirrel_6","left lever","no reaction",478,"C","left paw",6.16961073249146,1,"ipsi",0
"squirrel_6","left lever","no reaction",479,"C","left paw",6.17170059741091,1,"ipsi",0
"squirrel_6","left lever","no reaction",480,"C","both paws",6.17378610390194,1,"both",0
"squirrel_6","left lever","no reaction",481,"C","both paws",6.17586727010576,1,"both",0
"squirrel_6","left lever","no reaction",482,"C","left paw",6.1779441140506,2,"ipsi",0
"squirrel_6","left lever","no reaction",483,"C","right paw",6.18001665365257,1,"contra",0
"squirrel_6","left lever","no reaction",484,"C","both paws",6.18208490671663,1,"both",0
"squirrel_6","right lever","no reaction",485,"C","left paw",6.18414889093748,0,"contra",0
"squirrel_6","right lever","no reaction",486,"C","right paw",6.18620862390049,1,"ipsi",0
"squirrel_6","left lever","no reaction",487,"C","left paw",6.18826412308259,0,"ipsi",0
"squirrel_6","left lever","no reaction",488,"C","both paws",6.19031540585315,1,"both",0
"squirrel_6","right lever","no reaction",489,"C","left paw",6.19236248947487,0,"contra",0
"squirrel_6","left lever","no reaction",490,"C","right paw",6.19440539110467,1,"contra",0
"squirrel_6","left lever","no reaction",491,"C","right paw",6.19644412779452,2,"contra",0
"squirrel_10","left lever","exit",13,"C","both paws",2.56494935746154,2,"both",0
"squirrel_9","left lever","exit",11,"C","right paw",2.39789527279837,1,"contra",0
"squirrel_25","left lever","exit",3,"C","left paw",1.09861228866811,3,"ipsi",0
"squirrel_9","right lever","flinch",12,"C","both paws",2.484906649788,1,"both",0
"squirrel_25","left lever","exit",4,"C","left paw",1.38629436111989,2,"ipsi",0
"squirrel_25","right lever","exit",5,"C","right paw",1.6094379124341,0,"ipsi",0
"squirrel_25","left lever","exit",6,"C","left paw",1.79175946922805,1,"ipsi",0
"squirrel_25","left lever","exit",7,"C","left paw",1.94591014905531,0,"ipsi",0
"squirrel_25","left lever","exit",8,"C","left paw",2.07944154167984,4,"ipsi",0
